id,subject_id,mturk_id,task_type,gender,race,education_level,cognitive_reflection_1,cognitive_reflection_2,cognitive_reflection_3,rgpts_ref_1 ,rgpts_ref_2,rgpts_ref_3,rgpts_ref_4,rgpts_ref_5,rgpts_ref_6,rgpts_ref_7,rgpts_ref_8,rgpts_per_1,rgpts_per_2,rgpts_per_3,rgpts_per_4,rgpts_per_5,rgpts_per_6,rgpts_per_7,rgpts_per_8,rgpts_per_9,rgpts_per_10,paranoia_score,referential_group,persecution_group,What do you think the partner game was testing?,"Did you use any particular strategy or strategies? If yes, please describe.",Did you find yourself switching strategies over the course of the game?,Did any of the partners deliberately sabotage you?,Do you have any comments or feedback about the game or this survey?,wsr_avg,mu02_avg,mu03_avg,kappa_avg,omega2_avg,omega3_avg
126,TP257,A3S1TLYMH9WWUG,social,Female,White,"Bachelor's degree (e.g., BA, BS)",5,5,47,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.111111111,low,low,How I could be swayed by the helpful partner to choose him again,I played each partner that was successful 3 times and maybe four then switch,No,-3,,0.011111111,0.021307634,0.079364071,0.45029444,2.707603168,-1.278086304
127,TP258,A3LLOANE52R4LT,social,Male,White,"Bachelor's degree (e.g., BA, BS)",5,5,47,2,1,1,1,1,1,1,1,0,0,2,0,0,1,1,0,0,0,0.722222222,low,low,decision making,no,no,-2,,0.041666667,-0.287794261,-0.662680253,0.515880887,0.233942892,0.955741912
128,TP259,A3J55BJGV95JKH,social,Female,White,"Bachelor's degree (e.g., BA, BS)",5,5,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,low,adapting to change,"not particularly, just tried to keep track of who was paying best at the moment","not really, every time I thought I found a pattern it changed.",0,,0.01724138,-0.058273753,0.284393969,0.428985394,1.827093845,0.236737916
129,TP260,A1BNGJBEWJS8WE,social,Female,White,"High school degree or equivalent (e.g., GED)",10,5,47,0,0,0,1,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0.388888889,low,low,"I think seeing how often I switch between others, or stick with the 'tried and true'","I simply based my decisions on patterns, such as if I'm being rewarded then I stick with that partner until something changes.",Not really. I was pretty consistent with my strategy I feel.,1,Everything went well on my end.,0,-0.147711072,0.436026895,0.439889626,2.751968113,-0.612037415
130,TP261,A3EQR9C0L23O6E,social,Female,Other,"Bachelor's degree (e.g., BA, BS)",10,5,47,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,low,low,evaluating partner choices,I kept going back to the same partner if I got +100,no,-3,"I really enjoyed completing this survey, it was new and different.",0,-0.437479475,-1.249558998,0.531667479,-0.159755804,-1.384179427
131,TP100,A28AXX4NCWPH1F,social,Male,White,"Associate degree (e.g., AA, AS)",10,100,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,low,I am not sure,I continued to pick the one that gave me points and moved on to a different one when it didn't give me points.,No,-1,,0.037037037,-0.084616384,-0.795364151,0.482986503,1.368056386,0.541767852
132,TP101,A1P47Q6LZPLQ6P,social,Male,White,"Bachelor's degree (e.g., BA, BS)",5,5,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,low,Strategy and when switching happened.,Switched partners after two failures in a row.,"No, I stuck to my strategy above.",0,None.,0,-0.981625551,-2.090695192,0.433772344,1.00912096,-0.358001788
133,TP102,A2A1FS0KVLJ9ZT,social,Other,Black or African American,"Associate degree (e.g., AA, AS)",0.1,100,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,low,"Trust, I guess.","Not really, I just bounced between what seemed reliable.",No,3,"This came up in the survey: https://i.gyazo.com/20367fbecb6c4b45d4ed38454fd4a906.png

Just thought it was weird.",0.029433963,-0.085377296,-0.27493223,0.490926521,2.258557541,0.498982284
134,TP103,AGB57MX9TVKND,social,Male,White,"Some college or university, no degree",10,5,47,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.277777778,low,low,Memory,Stayed with same ones frequently.,no,1,no,0.045923633,-0.282665601,-0.510180912,0.445773693,2.112038114,0.024663529
135,TP104,A3QXFWX1PVH5MJ,social,Male,Black or African American,"Bachelor's degree (e.g., BA, BS)",0.1,100,24,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.166666667,low,low,the extent of trust in people,,yes,1,,0.076086957,0.077385784,0.607180247,0.551909566,0.619913099,-1.64540786
136,TP105,A3B7TNVOISSZ2O,social,Male,White,"Master's degree (e.g., MA, MS, MEd)",5,5,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,low,Loyalty,"I tried to identify patterns for the switches, but couldn't.",no,-2,no,0,-0.051493098,-1.0215454,0.419658784,2.310396464,0.292003657
137,TP106,A3F90N8YVKJ4I7,social,Male,White,"Bachelor's degree (e.g., BA, BS)",5,5,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,low,I don't know.,no,no,-2,no,0,-0.28360617,-0.033855423,0.564737915,0.168461069,-0.119066141
138,TP107,A18WSAKX5YN2FB,social,Female,"Asian,White","Some college or university, no degree",5,100,47,1,0,0,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0.333333333,low,low,I don't know.,"I honestly don't even remember. I think it was just this one failed me, move on to the next. If the next failed me, go back to the first to see if I get failed again.",I don't remember. I don't think so.,0,,0,-0.033750621,-0.273644203,0.461951587,2.432946016,-0.415200113
139,TP108,AKQAI78JTXXC9,social,Male,White,"Bachelor's degree (e.g., BA, BS)",5,5,47,1,1,3,2,4,1,1,1,1,1,2,0,1,1,1,1,2,1,1.388888889,low,high,You probably should've asked this before doing 15 minutes worth of bubble questions.,As soon as I hit a streak of negatives I switched.  Mostly ignored black after first round.,Not after the first round.,-1,Survey was entirely too long for the pay. ,0.013157895,-0.027084404,0.96440635,0.634453914,-1.124245045,-1.863388477
140,TP109,A1NVJB5O4H7ZCJ,social,Female,White,"Associate degree (e.g., AA, AS)",5,100,27,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.111111111,low,low,how quick you could figure out who had the most points,i tried counting and that somewhat worked in the beginning,no,-1,no,0.08452381,0.020580877,-0.05255452,0.441303239,2.105130385,-0.616118137
141,TP110,A1PZIN8H1VI6SY,social,Male,White,"Bachelor's degree (e.g., BA, BS)",0.1,100,24,2,3,2,3,3,2,2,3,2,3,2,2,2,2,3,2,3,2,2.388888889,high,high,it was testing our knowledge and preferences,dont use any,i dont think so,0,very good and interactive study,0.692582418,-0.007578231,0.972385579,0.619226967,-1.508387839,-1.927523009
142,TP111,A1720HSKGQ41VJ,social,Female,White,"Master's degree (e.g., MA, MS, MEd)",5,100,47,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.055555556,low,low,I am not sure.,"If I lost points I would pick the same person one more time to determine if it was just a bad day or not. If it was negative again, I would switch people.",No I don't think so.,-1,No,0.032608696,-0.688638118,-2.194902461,0.454228647,0.845449051,0.017223172
143,TP112,A33FNF55EK9Y3Z,social,Female,"Asian,White","Bachelor's degree (e.g., BA, BS)",10,100,47,0,0,0,1,0,0,2,1,2,0,1,1,1,0,0,1,2,1,0.722222222,low,low,Our ability to predict based on previous success or failure.,"Yes, if I found a partner to be helpful 100% then I was likely to pick them again. I found a pattern that most times it was the same partner with a few times where it was not so I kept choosing that same partner unless I ran into 3 or more times when they were not helpful then chose a different partner.",Yes. At the beginning I randomly chose but changed after I started to notice a pattern.,3,no comments,0.025062657,-0.032511591,0.947562299,0.626465366,-1.238620603,-1.831816815
144,TP113,A1TMZLYXQAK8Q0,social,Male,White,"Some college or university, no degree",5,5,47,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0.444444444,low,low,"I am not sure, maybe to see how long we'd stick with someone after they stopped producing results?","At first I would wait a turn after someone gave me negative points, but changed to move on instantly if I had already picked that person many times.  I was going in order and that worked out well for over half the time but towards the end it became more random.","A little bit, see above as I had already answered it there.",-1,"I think you may want to check the recent news having to do with some of your ""conspiracy theories.""  It would also help if you got other of your theories at least partially correct before asking people about them.",0,-0.285995652,-1.153921749,0.443821576,2.047908659,0.1715763
145,TP114,A1AUQK7SIP4B6N,social,Male,White,"Bachelor's degree (e.g., BA, BS)",0.1,100,24,3,4,3,3,2,3,4,4,2,3,4,3,2,3,3,4,3,3,3.111111111,high,high,yes,interest,no,2,interested,0.648634454,0.012622053,0.996328144,0.609377938,-1.683773926,-1.972564159
146,TP115,A1I72NHC21347A,social,Female,White,"High school degree or equivalent (e.g., GED)",5,5,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,low,recognizing symbols perhaps,each one I tried seemed to not follow through,yep often,0,na,0.05174292,-0.054958452,-2.548404021,0.622582,-0.668471929,-0.631397101
147,TP116,A2L5SX9SZKUESP,social,Female,Black or African American,"Master's degree (e.g., MA, MS, MEd)",10,100,24,0,2,1,2,2,1,2,4,2,4,3,1,2,3,3,1,0,1,1.888888889,low,high,it was testing luckiness in choosing options,I stuck to the one that won more.,no.,-1,This was too long for the pay.,0.070465687,-0.039586378,-1.506455321,0.4831359,1.12254657,0.132895775
148,TP117,A3BJTC39BU7R4V,social,Male,Asian,"Bachelor's degree (e.g., BA, BS)",5,5,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,low,I have no idea. The game actually seemed a little random to me. ,I just tried to stick to the partner that was working as long as possible. ,No I stuck with my strategy the whole time. ,-2,NA,0,-0.067989571,-1.260554126,0.468152433,1.549621619,-0.214830851
149,TP118,A1AKL5YH9NLD2V,social,Male,White,"Bachelor's degree (e.g., BA, BS)",5,5,47,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055555556,low,low,"To see how quickly people switch off someone after they give a ""-50.""","I would typically stay on someone who was giving ""+100"" until they gave me two ""-50s"" in a row.","No, I basically used the same strategy the whole game.",0,"There were several questions that didn't apply to me, but I still had to give an answer, so I chose ""decline"" for most of those. For example, one question asked if I had children. I said no, but I was still then asked questions about vaccinating my non-existent children. ",0.009090909,-0.136985234,-1.984879547,0.463696602,0.461179795,0.521288107
150,TP119,AV6C736XAEG67,social,Female,White,"Some college or university, no degree",0.1,100,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,low,My loyalty,I just stuck with my original partner knowing we all have bad days.,No,-3,Very interesting and long. Thank you for realizing that and making the compensation fair.,0.044444445,0.006303047,0.994294352,0.602808334,-1.913279114,-1.978982089
151,TP120,AI9QOT5C5DN1P,social,Male,White,"Associate degree (e.g., AA, AS)",10,5,47,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.166666667,low,low,Perception of teamwork,no it seemed random and at times I would just select a person,no it all seemed random so my strategy was to just pick who I felt was the plus 100,0,n/a,0.043103449,-0.000848097,0.513487409,0.413658003,2.262636703,0.698755389
152,TP121,A1KTZE679PHSFQ,social,Male,White,Completed some postgraduate,10,100,47,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0.222222222,low,low,"My blind trust in a partner and then to assess whether I believe the suggestion that they may ""sabotage"" me.",I tried to find patterns in who to trust after getting rejected.,"Yes. First I tried finding patterns in the interval of successful projects, then i tried finding patterns in the number failures, later I tried working out which partner would be the next one to be successful.",-1,This was interesting!,0.00862069,-0.161685949,-1.054082854,0.440752374,2.118191784,-0.569315823
153,TP122,A19S4W3QLLQJ0T,social,Female,White,"High school degree or equivalent (e.g., GED)",5,5,47,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0.222222222,low,low,Attention and focus,If one person did not do well twice in a row I would switch to someone else. ,No,-2,No,0.010416667,-0.206911,-2.55341336,0.473353858,0.052718107,-0.202434826
154,TP123,ADXRJFEHIDXRE,social,Male,White,"Bachelor's degree (e.g., BA, BS)",10,100,24,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.222222222,low,low,To see how people reacted to changes in the pattern of the game.,"No, I did not.",No.,3,No.,0.029499073,-0.205772933,-0.638425743,0.425464355,2.115786942,-0.462607413
155,TP124,A2G7F8S617H0BB,social,Male,White,"Bachelor's degree (e.g., BA, BS)",5,5,47,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.111111111,low,low,Memory and probabilitiy matching,Gambling strategies,I know programming. I know the optimal strategy.,2,,0.048780488,-0.027043712,1.006566946,0.621049307,-1.46868206,-1.93513703
156,TP125,A2LF84L3K71GR2,social,Female,White,"High school degree or equivalent (e.g., GED)",5,5,47,1,0,1,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0.388888889,low,low,I don't know,none,"I didn't have a strategy, just when with who was giving me points at the time.",-1,no comments,0.021276596,0.0512533,-1.25458225,0.421119582,2.146413228,0.010168
157,TP126,A5Z9DOJRPICW1,social,Female,White,"Some college or university, no degree",10,100,24,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.111111111,low,low,how people choose randomly,no,yes,0,"game was fun, survey was long and detailed.",0.191489362,-2.14E-05,0.850769352,0.521908535,0.352272701,-1.85300771
158,TP127,A1W7I6FN183I8F,social,Male,White,"Bachelor's degree (e.g., BA, BS)",5,5,47,0,0,2,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0.388888889,low,low,"If I have to guess, it was trying to determine how participants process information.","Not really. I just tried to identify which of the three resulted in 100 scores, and changed depending on circumstances.",I zeroed in on the partner that was most helpful (i.e. gave 100 scores). I would then switch if I received -50 more than once.,-1,"I actually enjoyed playing the game, though I did feel it was more random than anything else. In any case, thank you for the experience, and good luck in your research.",0.065759637,-0.039698425,-2.574096759,0.471706135,0.604499871,-0.183996775
159,TP128,AOIR8V07FYMH5,social,Male,White,"High school degree or equivalent (e.g., GED)",5,5,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,low,To see if you could see a pattern,I would go through all of them and the first one to give me 100 I tried to stay with,Not really. It stayed about the same besides 1 round where I got mostly -50,1,none,0.034005629,-0.037002266,0.976693678,0.629599126,-1.329197485,-1.906665238
160,TP129,A2R75YFKVALBXE,social,Male,White,"Master's degree (e.g., MA, MS, MEd)",10,5,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,low,I don't know. Ability to experiment to discover the highest profitability agent?,I would wait to see if a profitable agent changed and give it another round or two before moving to another. Once I found one that was profitable I stuck with it until it wasn't.,No,-3,"None, thanks!",0,-0.875944081,-4.082994501,0.466166463,-0.480519029,-1.863517361
161,TP130,A1ODA3Q5H6HTDQ,social,Female,White,"Some college or university, no degree",10,5,47,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.277777778,low,low,I'm not positive.,Mostly went with the middle choice.,Only a little.,-2,,0.251282052,-0.029367097,0.991788205,0.61049822,-1.667398511,-1.973007477
162,TP131,AQEP3H2QADT47,social,Male,White,"Some college or university, no degree",0.05,5,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055555556,low,low,I honestly don't know.,"I tried figuring out a pattern, but it didn't really work. ",Yes.,2,"On one of the questions for my friends about getting the vaccine with risk, I started putting disagree but wanted to change all the bubbles to I dont know after thinking about it. It wouldn't clear the bubbles out so both were marked disagree and I don't know. ",0.053571429,-0.096602054,-0.450255786,0.486499328,1.720877772,-0.046256045
163,TP132,A1B4KC5KP7FH1Z,social,Male,White,"High school degree or equivalent (e.g., GED)",5,5,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,low,trust,which ever player was steady giving 100 points,no,0,stay safe...,0,-0.117042986,-1.372321267,0.412120929,2.440652594,-0.344989187
164,TP133,A2M3FPQF852HW4,social,Male,White,"Some college or university, no degree",5,5,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,low,i don't know,I just looked for patterns and streaks,no,-3,Way too many repetitive and redundant bubbles and questions for this to take an average mTurk worker 20 minutes,0,-0.527912988,-0.829876886,0.53253775,0.206634478,-1.431761134
165,TP134,ABBP9JASL9AGK,social,Female,White,"Bachelor's degree (e.g., BA, BS)",10,10,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,low,How well you can adjust to change.,If one person was doing well I would continue to use them until they no longer were.,No,-3,,0,-0.188475955,-3.45238823,0.434315364,0.744360274,-0.885728327
166,TP135,A1TTFE7OTLIJW8,social,Male,White,"Master's degree (e.g., MA, MS, MEd)",10,5,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,low,No idea.,If there were two losses in a row I'd switch.,Not really.,0,,0,-0.526688766,-1.047926779,0.542199051,0.03750156,-1.123593252
167,TP136,A36DK84J5YJ942,social,Male,"American Indian or Alaska Native,White","High school degree or equivalent (e.g., GED)",10,5,47,0,0,2,3,3,0,4,1,3,1,4,0,2,0,0,1,3,2,1.611111111,low,high,Unsure,I kept using the same ones until they gave less then looked for the next one,No,1,,0.032900433,-0.089556052,-0.210873227,0.477237191,1.881302502,0.749543963
168,TP137,A39KUEDR8ZS1CF,social,Female,White,"Bachelor's degree (e.g., BA, BS)",10,100,24,0,0,0,0,0,0,3,2,,3,2,2,3,1,4,2,1,3,1.529411765,low,high,How people depend on their intuition and experience to make the right decison.,Yes. I chose the reliable person till the person failed me. Then I guessed the next reliable person.,"No, I didn't.",0,the game was very engaging and interesting.,0.010869565,-0.242153703,-0.787194058,0.464318644,2.189074626,0.024615762
169,TP138,A3822BB341LIB2,social,Male,White,"High school degree or equivalent (e.g., GED)",10,100,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,low,How trusting people are of others when they're reliable or not.,I didn't.,I didn't really have a strategy.,0,I do not.,0,-0.262111069,-0.238125329,0.41092611,2.539815005,-0.691290306
170,TP139,A2AU47UQON6TL9,social,Male,White,"Some college or university, no degree",5,5,47,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055555556,low,low,Ability to recognize patterns.,If I got -50 several times in a row I would try a new choice.,No,0,none,0,-1.021825976,-2.810251032,0.455417518,0.563965463,-0.537480129
171,TP140,AIHHRINW9IN1I,social,Female,White,"Master's degree (e.g., MA, MS, MEd)",5,5,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,low,How quickly people switch strategies,Just trial and error,Only when the partner I had started giving frequently -50 results,-2,,0,-0.687836666,-3.991400995,0.466449932,-0.369185739,-1.191238397
172,TP141,A3SFNY43VM330P,social,Male,Asian,"Bachelor's degree (e.g., BA, BS)",5,5,47,0,0,1,0,1,0,0,0,2,0,1,0,0,0,1,0,2,0,0.444444444,low,low,I think the game was testing people's ability to adapt to changing settings and willingness to vary their strategies.,"In every round except the last, I stayed with the same person who was giving me +100 points until it became negative. In the last round, I just chose a different person for each selection because the changes were rapid.","Yes, I went from sticking to one companion to constantly changing companions.",-2,"There were a couple questions in the survey in which once I clicked the Don't Know bubble, I could not deselect it, so some of my answers have both Don't Know and another answer selected.",0.223684211,-0.175124698,-0.073300372,0.5311968,0.132725261,-0.685061488
173,TP142,A1CA6ZXKK09ZRI,social,Male,"Asian,Black or African American","Bachelor's degree (e.g., BA, BS)",0.05,5,47,2,3,3,2,4,3,3,2,,,3,3,4,2,1,1,2,2,2.5,high,high,Ability to concentrate,,,-1,,0.054054054,-0.16431768,-0.493753566,0.461535588,2.113838111,-0.858760164
174,TP143,A1ZSF0TMW419EK,social,Male,White,"Bachelor's degree (e.g., BA, BS)",10,100,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,low,Your ability to recognize patterns.,Count the pattern and predict when it will change.,Yes. The pattern would change.,-3,,0.082482993,-0.20704344,0.239770147,0.416981946,2.302841056,-1.269946505
175,TP144,A1PNYLOKED8FWF,social,Male,White,"Bachelor's degree (e.g., BA, BS)",10,100,47,2,1,2,1,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0.666666667,low,low,I'm not really sure to be honest. ,"I tried to keep choosing the best one, and when it wasn't a good choice, I just choose one of the other two people and tried to stick with them as long as I was getting 100 points.","Not really, I just kept trying to find the best choice by randomly choosing another person if the points I was getting were negative.",-2,"This survey was not 20 minutes long as advertised. It took much longer than expected...double the time. Also, there was a radio button I could not unclick, and I have two answers for the same question in one of them. I meant to say ""don't know"", but I couldn't undo my previous answer.",0,-0.204058409,-1.107438913,0.445893911,1.782701201,-0.041377929
176,TP145,A13WTEQ06V3B6D,social,Male,Asian,"Master's degree (e.g., MA, MS, MEd)",5,5,47,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.222222222,low,low,How do people make choices.,No I did not use any strategies.,"No, I just picked the ones that seemed more likely.",-2,I have no additional comments,0.149891775,-0.060053126,0.558862637,0.598645906,0.097631535,-0.933494473
177,TP146,A1BHR5XQ16T7LA,social,Male,White,"Some college or university, no degree",10,5,47,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.166666667,low,low,"How quickly we changed our partners, but I'm sure there's some underlying thing that I'm unaware about :)",I generally waited until I got -50 twice in a row before switching partners.,No,1,That long list of conspiracy theories was entertaining to read.  I didn't know there were so many out there!,0.009433963,-0.554818009,-1.678054955,0.451223846,0.992101297,0.08476886
178,TP147,A2ML0070M8FDK1,social,Female,White,"Some college or university, no degree",10,5,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,low,ability to adapt,stayed with the same one that gave 100 until it didn't,nono,1,no,0,-0.109421845,-0.165737455,0.425484699,2.631178619,-0.132141703
179,TP148,AH00EJ6PK1H3A,social,Male,White,"High school degree or equivalent (e.g., GED)",5,5,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,low,I haven't the faintest idea.,If I got -50 twice in a row I tried a new student.,No.,-3,All was clear and worked as it should. Thanks for the opportunity.,0,-0.348955199,-1.202214593,0.460908151,0.746197273,0.618564799
180,TP149,A18FPXIJYCTETD,social,Female,White,"Bachelor's degree (e.g., BA, BS)",10,100,24,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.222222222,low,low,How me make predictions. ,"I stuck to the person who was successful and when they stopped being successful, I changed people. ",No. I stuck with the same one. ,-2,None. ,0,-0.311137057,-0.564181519,0.468960301,2.457326158,-0.661362366
181,TP150,A3BJNFU4T7RU11,social,Male,White,"Some college or university, no degree",0.05,5,47,1,2,1,1,0,0,2,1,1,0,2,0,1,0,0,0,1,0,0.722222222,low,low,No idea,"I don't even really remember the game after that awful survey, holy crap. ",I went with who I thought was the hot hand. ,2,This survey is GOD AWFUL. No reason we should have to judge 8 friends on a million metrics. One of the worst surveys I've done in my seven years on Mturk. ,0.01877193,-0.719270787,-1.277721039,0.444814324,1.419170074,0.164334956
182,TP151,A2NBBQ3DKW5MV3,social,Male,White,"Bachelor's degree (e.g., BA, BS)",10,5,47,1,0,0,1,1,0,1,0,1,1,1,2,0,1,,1,1,2,0.823529412,low,low,if we follow patterns,no i did not,no i mainly went with the left and middle people throughout the game,-2,,0.117361111,-0.075267877,0.948866949,0.630260455,-1.220140888,-1.887509062
183,TP152,AMNRYECHXZY34,social,Male,White,"Bachelor's degree (e.g., BA, BS)",5,5,47,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0.277777778,low,low,"to see if people switch to another option quickly, or wait for the points to come back to the same person.","not really, just tried all colors and they all seemed to be half good and half bad at times",no,-2,none,0,-0.801797148,-3.364682351,0.451794211,0.368856662,-1.954969957
184,TP153,A123Z5E5ULFEX7,social,Male,White,"Bachelor's degree (e.g., BA, BS)",0.1,5,47,1,2,1,0,0,1,0,1,3,2,1,1,3,2,3,3,3,4,1.722222222,low,high,It's good prediction for psychology ,I guessed,No,1,Good survey,0.18627451,-0.013037963,0.49172658,0.545852633,-0.198433332,-1.035655959
185,TP154,A1A1ZXUVSV4YR8,social,Female,White,"Master's degree (e.g., MA, MS, MEd)",0.05,5,47,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0.333333333,low,low,I think the game was testing to see how long people continue with the same partner before deciding it is not worth it (many -50 results) and switch over to a new partner.,"I checked partners until I found one that gave +100 more than 50% of the time, then stuck with that partner until they started giving a few -50s in a row, then switched to try someone new.","I did not change my strategy really, I just kept to the approach described above.",-2,"I did not feel that any partner was ""Deliberate"" about it, because it is impossible to tell from this interface whether it was sabotage or a mistake that caused a -50 score. I never felt it was deliberate, as it was AI and so I did not blame anyone.",0.019230769,-0.552284026,-2.952811485,0.463233911,0.078536397,-1.1632044
186,TP155,A1QJ2VPPZG16EG,social,Female,White,"Bachelor's degree (e.g., BA, BS)",0.1,5 minutes,47 days,2,0,4,1,4,4,4,4,4,3,4,4,4,4,3,4,4,4,3.388888889,high,high,How well people do with games of chance.,I tried to pick the classmate that had the highest scores the most. ,Yes.  Many times the game would shift and the one I had selected would come up loosing points instead of staying at 100. ,0,None,0.130952381,-0.074762205,0.413570395,0.421552654,2.606781068,-1.417540929
187,TP156,ASTR3EPUOKEXV,social,Male,"American Indian or Alaska Native,Black or African American,White","Associate degree (e.g., AA, AS)",5,5,47,0,2,0,2,0,0,2,0,2,2,2,0,1,0,0,0,1,2,0.888888889,low,low,not sure,stuck to the one for a while and then just guessed,no,0,i lost internet connection for a moment,0.112159329,-0.158601663,0.059658128,0.461018704,2.353052235,-1.141673895
188,TP157,A3095ABT1L25QK,social,Male,Asian,"Some college or university, no degree",0.1,100,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,low,To see how people choose who they would trust.,I tried to find the person that offered the most consistent positive values. ,I did switch my choice when I was getting too many negative results with my choice.,-1,none,0.022222222,-0.101465772,0.883811908,0.643187902,-0.787087404,-1.740013324
189,TP158,A1VRBTDT3VJSIA,social,Female,Black or African American,"Bachelor's degree (e.g., BA, BS)",0.05,5,47,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0.388888889,low,low,Attention survey,no,no,0,n/a,0.052083334,-0.206803438,-1.057298235,0.448403618,1.165446393,-0.405691053
190,TP159,A16PGNEFSNCTXF,social,Male,Black or African American,"Bachelor's degree (e.g., BA, BS)",0.1,5,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,low,low,the game  was testing the decision making skills.,no,no,1,NO,0.05,-0.109586443,-0.545016862,0.456532776,1.920643628,0.257598476
191,TP160,A29OIZAIHTFKUV,social,Male,Black or African American,"Some college or university, no degree",5,i am not sure,47,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0.277777778,low,low,peoples critical thinking,for the answers i thought i knew i just thought it out step by step,yes i did. i was quicker to change partners after seeing negative amounts,1,no feedback at this time,0.021315193,-0.235496423,-2.055932255,0.481989424,0.466238207,0.30712262
192,TP161,AZVWH7V65BL5W,social,Female,White,"Bachelor's degree (e.g., BA, BS)",5,5,47,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0.166666667,low,low,"trustworthiness or something, idk",click until they let me down twice,no,0,i get what ur going for here but i think ur kinda blurring the lines a bit between conspiracy theories and actual things the actual federal government is on record as actually doing. peace and eat the rich.,0,-1.107800838,-3.233167505,0.42977339,0.586295511,-1.430781752
193,TP162,AWN8SISULPG1E,social,Male,Asian,"Master's degree (e.g., MA, MS, MEd)",0.1,20,24,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0.611111111,low,low,The game is very interesting and it depends upon luck.,no. simply wild guess,no,1,no comments,0.362858366,0.006049147,0.675330252,0.537658564,0.13814455,-0.841583168
